file_id,user_id,subforum_id,num_contexts,text,label
12834217_2,572066,1346,0,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",noHate
12834217_4,572066,1346,0,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,hate
12834493_1,572058,1396,0,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",hate
12849464_2,575975,1346,0,I think you should write a book as well .,noHate
12849464_5,575975,1346,1,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",noHate
12855154_1,576372,1346,0,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,hate
12860820_1,573375,1346,0,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,hate
12869018_3,575841,1346,1,He is a pathetic little chimp .,hate
12870229_3,572066,1346,0,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,noHate
12883101_1,577823,1345,4,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,hate
12883101_2,577823,1345,4,Welcome to the front lines ...,noHate
12904919_1,572076,1345,0,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",hate
12915702_1,575999,1345,0,Nice to know that are still a few men out there who `` have a pair '' .,noHate
13061184_1,577495,1345,1,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",hate
13061184_2,577495,1345,1,May they all get mad cow disease .,hate
13063290_2,578990,1345,2,* Unsubscribed * Off to the SA threads .,noHate
13139571_1,572139,1345,3,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,noHate
13177001_4,579206,1345,1,"Hundreds of people , but no blacks !",noHate
13209219_1,575645,1345,0,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",noHate
13288494_12,572180,1345,6,The Rest Of The Story,noHate
13391410_1,579214,1345,1,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,hate
13401474_2,581236,1345,2,I hope they all starve .,hate
13401474_3,581236,1345,2,No white person should send a single penny or lift a single finger to help them .,hate
13406897_2,579436,1345,0,"He walks upright , and has human arms and legs .",hate
13406897_3,579436,1345,0,I 've seen negroes who look ( and undoubtedly act ) like him .,hate
13422115_1,581373,1347,0,"Again, every time I will see filthy comment about Georgia without providing any facts , I will respond .",noHate
13422115_2,581373,1347,0,I will respond until Armenian scum will stop,hate
13433000_1,572042,1347,0,"The reason large white families were encouraged those days was to build up the population of white Germans , which were ravaged by the jewish attacks at them during WW1 and in hyperinflation 1920 's .",noHate
13434590_2,575709,1347,0,Where a white woman can go about in public and not fear assault by muds .,hate
13444199_1,581884,1347,3,I retract - always .... Always because an animal lacks the skills to properly raise a ( half ) human child .,hate
13446781_3,572067,1347,1,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,hate
13449094_1,579167,1347,0,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,hate
13454668_1,573278,1347,0,Black ``women''on London transport ...,hate
13456696_1,572219,1396,2,"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",noHate
13456696_8,572219,1396,2,And then there is the pesticides on your fresh ( ? ) fruit and veggies .,noHate
13456696_11,572219,1396,2,"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",noHate
13456921_1,578990,1347,0,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .",hate
13460017_2,582330,1347,0,"( If you click the video , the video comments are full of self-hating whites ) : YouTube - BAKA RAINFOREST PEOPLE YODELLERS",noHate
13461719_2,575756,1347,2,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,hate
